,StockItemID,QuantityOnHand,BinLocation,LastStocktakeQuantity,LastCostPrice,ReorderLevel,TargetStockLevel,LastEditedBy,LastEditedWhen
0,1,175609,L-1,171341,9.5,20,100,16,2016-05-31 07:00:00
1,2,165538,L-1,161435,9.5,20,100,3,2016-05-31 12:00:00
2,3,253190,L-2,246900,11.25,10,120,3,2016-05-31 12:00:00
3,4,208109,L-3,202964,12.0,5,100,3,2016-05-31 12:00:00
4,5,199064,L-3,194162,12.0,5,100,3,2016-05-31 12:00:00
5,6,196995,L-3,192127,12.0,5,100,3,2016-05-31 12:00:00
6,7,205295,L-3,200201,12.0,5,100,16,2016-05-31 07:00:00
7,8,412277,L-3,401980,88.5,10,200,16,2016-05-31 07:00:00
8,9,192749,L-3,187968,12.0,5,100,3,2016-05-31 12:00:00
9,10,222572,L-3,217048,12.0,5,100,3,2016-05-31 12:00:00
10,11,203148,L-3,198084,12.0,5,100,3,2016-05-31 12:00:00
11,12,200406,L-3,195396,12.0,5,100,3,2016-05-31 12:00:00
12,13,197453,L-3,192553,12.0,5,100,3,2016-05-31 12:00:00
13,14,192358,L-3,187553,12.0,5,100,3,2016-05-31 12:00:00
14,15,398290,L-3,388445,88.5,10,200,16,2016-05-31 07:00:00
15,16,51836,K-9,50541,4.5,15,40,16,2016-05-31 07:00:00
16,17,62428,K-9,60923,4.5,15,40,3,2016-05-31 12:00:00
17,18,89207,K-9,86985,4.5,15,40,16,2016-05-31 07:00:00
18,19,68800,K-9,67153,4.5,15,40,3,2016-05-31 12:00:00
19,20,66722,K-9,65070,4.5,15,40,3,2016-05-31 12:00:00
20,21,68683,K-9,67023,4.5,15,40,3,2016-05-31 12:00:00
21,22,72747,K-9,70913,4.5,15,40,16,2016-05-31 07:00:00
22,23,56283,K-9,54910,4.5,15,40,3,2016-05-31 12:00:00
23,24,57083,K-9,55653,4.5,15,40,3,2016-05-31 12:00:00
24,25,47106,K-9,45926,4.5,15,40,3,2016-05-31 12:00:00
25,26,61071,K-9,59557,4.5,15,40,3,2016-05-31 12:00:00
26,27,47747,K-9,46561,4.5,15,40,16,2016-05-31 07:00:00
27,28,53851,K-9,52451,4.5,15,40,3,2016-05-31 12:00:00
28,29,80978,K-9,78955,4.5,15,40,16,2016-05-31 07:00:00
29,30,49248,K-9,48000,4.5,15,40,3,2016-05-31 12:00:00
30,31,79604,K-9,77666,4.5,15,40,3,2016-05-31 12:00:00
31,32,47512,K-9,46276,4.5,15,40,3,2016-05-31 12:00:00
32,33,60005,K-9,58527,4.5,15,40,3,2016-05-31 12:00:00
33,34,65583,K-9,63953,4.5,15,40,3,2016-05-31 12:00:00
34,35,75803,K-9,74021,4.5,15,40,3,2016-05-31 12:00:00
35,36,49459,K-9,48215,4.5,15,40,16,2016-05-31 07:00:00
36,37,61318,K-9,59755,4.5,15,40,16,2016-05-31 07:00:00
37,38,58431,K-9,57002,4.5,15,40,16,2016-05-31 07:00:00
38,39,66353,K-9,64705,4.5,15,40,3,2016-05-31 12:00:00
39,40,82969,K-9,80939,4.5,15,40,3,2016-05-31 12:00:00
40,41,79138,K-9,77229,4.5,15,40,16,2016-05-31 07:00:00
41,42,61075,K-9,59525,4.5,15,40,3,2016-05-31 12:00:00
42,43,59174,K-9,57721,4.5,15,40,3,2016-05-31 12:00:00
43,44,76861,K-9,74947,4.5,15,40,16,2016-05-31 07:00:00
44,45,54430,K-9,53140,4.5,15,40,3,2016-05-31 12:00:00
45,46,85243,K-9,83222,4.5,15,40,3,2016-05-31 12:00:00
46,47,57652,K-9,56273,4.5,15,40,3,2016-05-31 12:00:00
47,48,65779,K-9,64176,4.5,15,40,3,2016-05-31 12:00:00
48,49,51545,K-9,50253,4.5,15,40,3,2016-05-31 12:00:00
49,50,81085,K-9,79076,4.5,15,40,16,2016-05-31 07:00:00
50,51,47656,K-9,46445,4.5,15,40,3,2016-05-31 12:00:00
51,52,51289,K-9,49996,4.5,15,40,3,2016-05-31 12:00:00
52,53,58061,K-9,56601,4.5,15,40,3,2016-05-31 12:00:00
53,54,95786,K-9,93497,4.5,15,40,16,2016-05-31 07:00:00
54,55,83130,K-9,81127,4.5,15,40,16,2016-05-31 07:00:00
55,56,59403,K-9,57960,4.5,15,40,3,2016-05-31 12:00:00
56,57,72743,K-9,70989,4.5,15,40,3,2016-05-31 12:00:00
57,58,174043,J-12,169781,12.5,20,100,3,2016-05-31 12:00:00
58,59,190946,J-12,186270,12.5,20,100,3,2016-05-31 12:00:00
59,60,165484,J-12,161392,12.5,20,100,3,2016-05-31 12:00:00
60,61,163823,J-12,159729,12.5,20,100,3,2016-05-31 12:00:00
61,62,180856,J-12,176339,12.5,20,100,3,2016-05-31 12:00:00
62,63,190886,J-12,186159,12.5,20,100,3,2016-05-31 12:00:00
63,64,213248,J-12,208012,15.0,20,100,16,2016-05-31 07:00:00
64,65,164183,J-12,160108,15.0,20,100,16,2016-05-31 07:00:00
65,66,172525,J-12,168159,15.5,20,100,3,2016-05-31 12:00:00
66,67,93588,J-13,91282,145.0,10,50,3,2016-05-31 12:00:00
67,68,90953,J-13,88735,145.0,10,50,3,2016-05-31 12:00:00
68,69,96791,J-13,94441,145.0,10,50,3,2016-05-31 12:00:00
69,70,83287,J-13,81218,145.0,10,50,16,2016-05-31 07:00:00
70,71,112020,J-13,109296,145.0,10,50,16,2016-05-31 07:00:00
71,72,116147,J-13,113273,145.0,10,50,16,2016-05-31 07:00:00
72,73,106477,J-13,103789,155.0,10,50,3,2016-05-31 12:00:00
73,74,80341,J-13,78368,155.0,10,50,3,2016-05-31 12:00:00
74,75,80823,J-14,78776,205.0,10,50,3,2016-05-31 12:00:00
75,76,129929,K-1,127169,7.0,5,20,3,2016-05-31 12:00:00
76,77,27,K-1,15,7.0,5,20,16,2016-05-31 07:00:00
77,78,16,K-1,28,7.0,5,20,3,2016-05-31 12:00:00
78,79,24895,K-1,24871,7.0,5,20,16,2016-05-31 07:00:00
79,80,20,K-1,8,7.0,5,20,3,2016-05-31 12:00:00
80,81,106773,K-1,103977,7.0,5,20,3,2016-05-31 12:00:00
81,82,6706,K-1,7254,7.5,5,20,3,2016-05-31 12:00:00
82,83,224185,K-1,218581,7.5,5,20,3,2016-05-31 12:00:00
83,84,5439,K-1,5871,8.0,5,20,16,2016-05-31 07:00:00
84,85,56210,K-1,54554,8.0,5,20,16,2016-05-31 07:00:00
85,86,3,K-1,15,8.0,5,20,3,2016-05-31 12:00:00
86,87,53392,K-1,52048,8.0,5,20,3,2016-05-31 12:00:00
87,88,148350,K-1,145218,8.5,5,20,3,2016-05-31 12:00:00
88,89,81703,K-2,79687,7.0,5,20,3,2016-05-31 12:00:00
89,90,75663,K-2,74523,7.0,5,20,3,2016-05-31 12:00:00
90,91,76373,K-2,75125,7.0,5,20,3,2016-05-31 12:00:00
91,92,82253,K-2,79805,7.0,5,20,3,2016-05-31 12:00:00
92,93,277914,K-2,271398,7.0,5,20,16,2016-05-31 07:00:00
93,94,157255,K-2,153163,7.0,5,20,3,2016-05-31 12:00:00
94,95,48,K-2,12,7.5,5,20,16,2016-05-31 07:00:00
95,96,402445,K-2,392305,7.5,5,20,3,2016-05-31 12:00:00
96,97,525771,K-2,512667,8.0,5,20,3,2016-05-31 12:00:00
97,98,25,K-2,1,8.0,5,20,16,2016-05-31 07:00:00
98,99,282132,K-2,275232,8.0,5,20,3,2016-05-31 12:00:00
99,100,277863,K-2,270723,8.0,5,20,16,2016-05-31 07:00:00
100,101,51036,K-2,50232,8.5,5,20,16,2016-05-31 07:00:00
101,102,6702,K-3,6584,17.0,5,10,3,2016-05-31 12:00:00
102,103,13020,K-3,12699,17.0,5,10,16,2016-05-31 07:00:00
103,104,14596,K-3,14233,17.0,5,10,16,2016-05-31 07:00:00
104,105,23213,K-3,22601,17.0,5,10,16,2016-05-31 07:00:00
105,106,10874,K-3,10628,17.0,5,10,3,2016-05-31 12:00:00
106,107,10843,K-4,10568,19.0,5,10,16,2016-05-31 07:00:00
107,108,6342,K-4,6229,19.0,5,10,3,2016-05-31 12:00:00
108,109,27052,K-4,26392,19.0,5,10,3,2016-05-31 12:00:00
109,110,19426,K-4,19004,19.0,5,10,3,2016-05-31 12:00:00
110,111,8498,K-4,8304,22.0,5,10,3,2016-05-31 12:00:00
111,112,11076,K-4,10807,22.0,5,10,3,2016-05-31 12:00:00
112,113,7057,K-4,6865,22.0,5,10,3,2016-05-31 12:00:00
113,114,6971,K-4,6763,22.0,5,10,16,2016-05-31 07:00:00
114,115,16909,K-4,16517,24.0,5,10,3,2016-05-31 12:00:00
115,116,10988,K-4,10689,24.0,5,10,3,2016-05-31 12:00:00
116,117,14824,K-4,14434,24.0,5,10,3,2016-05-31 12:00:00
117,118,58218,K-5,56838,8.0,10,30,3,2016-05-31 12:00:00
118,119,49638,K-5,48459,8.0,10,30,16,2016-05-31 07:00:00
119,120,68104,K-5,66446,8.0,10,30,3,2016-05-31 12:00:00
120,121,39597,K-5,38679,8.5,10,30,3,2016-05-31 12:00:00
121,122,38905,K-5,37924,8.0,10,30,3,2016-05-31 12:00:00
122,123,45839,K-5,44709,8.0,10,30,3,2016-05-31 12:00:00
123,124,40953,K-5,39935,8.0,10,30,3,2016-05-31 12:00:00
124,125,39732,K-5,38726,8.5,10,30,3,2016-05-31 12:00:00
125,126,44071,K-5,43012,8.0,10,30,3,2016-05-31 12:00:00
126,127,41393,K-5,40386,8.0,10,30,3,2016-05-31 12:00:00
127,128,64026,K-5,62435,8.0,10,30,3,2016-05-31 12:00:00
128,129,49855,K-5,48640,8.5,10,30,3,2016-05-31 12:00:00
129,130,60311,K-5,58828,8.0,10,30,3,2016-05-31 12:00:00
130,131,37392,K-5,36517,8.0,10,30,3,2016-05-31 12:00:00
131,132,43436,K-5,42372,8.0,10,30,3,2016-05-31 12:00:00
132,133,56220,K-5,54892,8.5,10,30,3,2016-05-31 12:00:00
133,134,41994,K-5,40941,8.0,10,30,16,2016-05-31 07:00:00
134,135,37481,K-5,36567,8.0,10,30,16,2016-05-31 07:00:00
135,136,39284,K-5,38336,8.0,10,30,16,2016-05-31 07:00:00
136,137,45624,K-5,44519,8.5,10,30,3,2016-05-31 12:00:00
137,138,501745,K-6,489469,1.5,20,100,3,2016-05-31 12:00:00
138,139,126418,K-6,123058,1.5,20,100,3,2016-05-31 12:00:00
139,140,570360,K-6,556908,1.5,20,100,3,2016-05-31 12:00:00
140,141,328315,K-6,320227,1.5,20,100,3,2016-05-31 12:00:00
141,142,323812,K-7,316168,19.0,12,150,3,2016-05-31 12:00:00
142,143,378187,K-7,368623,19.0,12,150,16,2016-05-31 07:00:00
143,144,379166,K-7,369698,19.0,12,150,3,2016-05-31 12:00:00
144,145,248519,K-7,242015,19.0,12,150,16,2016-05-31 07:00:00
145,146,327221,K-7,319481,15.0,12,150,3,2016-05-31 12:00:00
146,147,354456,K-7,345708,15.0,12,150,16,2016-05-31 07:00:00
147,148,274041,K-7,267057,15.0,12,150,3,2016-05-31 12:00:00
148,149,229551,K-7,223599,15.0,12,150,3,2016-05-31 12:00:00
149,150,31743,K-8,30952,5.5,5,20,3,2016-05-31 12:00:00
150,151,37881,K-8,36962,5.5,5,20,3,2016-05-31 12:00:00
151,152,31300,K-8,30489,5.5,5,20,16,2016-05-31 07:00:00
152,153,168635,D-1,164905,2.2,20,50,16,2016-05-31 07:00:00
153,154,105320,D-1,103270,10.0,20,50,16,2016-05-31 07:00:00
154,155,440171,D-1,428681,13.0,20,50,3,2016-05-31 12:00:00
155,156,172675,D-1,168195,7.5,20,50,3,2016-05-31 12:00:00
156,157,46925,D-1,46155,14.0,20,50,3,2016-05-31 12:00:00
157,158,26193,D-1,25703,56.0,20,50,3,2016-05-31 12:00:00
158,159,48746,D-1,47736,8.0,20,50,16,2016-05-31 07:00:00
159,160,250461,D-1,244121,15.0,20,50,3,2016-05-31 12:00:00
160,161,188962,D-1,184422,16.0,20,50,3,2016-05-31 12:00:00
161,162,269785,D-1,263455,9.9,20,50,3,2016-05-31 12:00:00
162,163,108019,D-1,105389,14.0,20,50,3,2016-05-31 12:00:00
163,164,68906,D-1,67356,59.0,20,50,3,2016-05-31 12:00:00
164,165,187313,D-1,182723,17.0,20,50,16,2016-05-31 07:00:00
165,166,149668,D-1,146308,23.0,20,50,3,2016-05-31 12:00:00
166,167,308519,D-1,301429,45.0,20,50,16,2016-05-31 07:00:00
167,168,112946,D-1,109736,12.0,20,50,16,2016-05-31 07:00:00
168,169,68707,D-1,67267,21.0,20,50,3,2016-05-31 12:00:00
169,170,274265,D-1,267845,55.0,20,50,3,2016-05-31 12:00:00
170,171,128136,D-1,125016,16.0,20,50,16,2016-05-31 07:00:00
171,172,291347,D-1,284067,23.0,20,50,3,2016-05-31 12:00:00
172,173,103958,D-1,101188,47.0,20,50,16,2016-05-31 07:00:00
173,174,8879,D-2,8702,110.0,2,3,3,2016-05-31 12:00:00
174,175,15106,D-2,14697,110.0,2,3,3,2016-05-31 12:00:00
175,176,41251,D-2,40230,110.0,2,3,3,2016-05-31 12:00:00
176,177,58292,D-3,57592,0.55,50,100,3,2016-05-31 12:00:00
177,178,117043,D-3,114368,1.1,50,100,16,2016-05-31 07:00:00
178,179,214030,D-3,209130,0.55,50,100,3,2016-05-31 12:00:00
179,180,318572,D-3,311847,0.6,50,100,16,2016-05-31 07:00:00
180,181,64432,D-3,65282,0.56,50,100,3,2016-05-31 12:00:00
181,182,326007,D-3,317357,0.6,50,100,3,2016-05-31 12:00:00
182,183,62224,D-3,62149,1.2,50,100,3,2016-05-31 12:00:00
183,184,38,D-3,38,1.9,50,100,3,2016-05-31 12:00:00
184,185,723037,D-3,706837,1.05,50,100,3,2016-05-31 12:00:00
185,186,422709,D-3,412434,1.1,50,100,3,2016-05-31 12:00:00
186,187,1034169,D-3,1009444,0.45,50,100,3,2016-05-31 12:00:00
187,188,208903,D-3,204003,0.36,50,100,3,2016-05-31 12:00:00
188,189,324375,D-4,316731,1.7,20,50,3,2016-05-31 12:00:00
189,190,50246,D-4,48746,1.8,20,50,16,2016-05-31 07:00:00
190,191,686530,D-4,668962,1.8,20,50,3,2016-05-31 12:00:00
191,192,618169,D-4,604525,2.3,20,50,3,2016-05-31 12:00:00
192,193,50,D-4,74,1.6,20,50,16,2016-05-31 07:00:00
193,194,204993,D-4,200529,2.0,20,50,3,2016-05-31 12:00:00
194,195,59592,D-4,57648,1.3,20,50,3,2016-05-31 12:00:00
195,196,654741,D-4,638949,2.0,20,50,16,2016-05-31 07:00:00
196,197,263108,D-4,255716,1.7,20,50,3,2016-05-31 12:00:00
197,198,54862,D-4,54454,1.95,20,50,3,2016-05-31 12:00:00
198,199,5447,D-4,4991,1.5,20,50,3,2016-05-31 12:00:00
199,200,56445,D-4,57069,2.4,20,50,3,2016-05-31 12:00:00
200,201,153241,D-4,148369,1.6,20,50,3,2016-05-31 12:00:00
201,202,68654,D-4,68606,2.05,20,50,16,2016-05-31 07:00:00
202,203,4253,D-4,4643,17.0,20,30,3,2016-05-31 12:00:00
203,204,24,D-4,24,17.0,20,30,16,2016-05-31 07:00:00
204,205,169152,D-4,165562,17.0,20,30,3,2016-05-31 12:00:00
205,206,306414,D-5,299778,1.7,50,200,3,2016-05-31 12:00:00
206,207,250156,D-5,244504,1.7,50,200,3,2016-05-31 12:00:00
207,208,251435,D-5,245531,1.7,50,200,3,2016-05-31 12:00:00
208,209,104161,D-7,101691,0.9,20,50,16,2016-05-31 07:00:00
209,210,128179,D-7,125214,1.2,20,50,3,2016-05-31 12:00:00
210,211,273217,D-7,266757,2.6,20,50,3,2016-05-31 12:00:00
211,212,248979,D-7,243069,2.05,20,50,3,2016-05-31 12:00:00
212,213,20946,D-8,20443,35.0,20,30,3,2016-05-31 12:00:00
213,214,16642,D-8,16226,54.0,20,30,3,2016-05-31 12:00:00
214,215,12530,D-8,12296,1140.0,1,2,3,2016-05-31 12:00:00
215,216,47902,D-9,47472,6.0,10,40,3,2016-05-31 12:00:00
216,217,128916,D-9,126526,16.0,10,40,3,2016-05-31 12:00:00
217,218,107072,D-9,104442,18.0,10,40,16,2016-05-31 07:00:00
218,219,108124,D-9,106114,26.0,10,40,3,2016-05-31 12:00:00
219,220,90360,CH-1,71112,4.75,240,500,16,2016-05-31 07:00:00
220,221,48228,CH-2,38748,8.75,120,250,3,2016-05-31 12:00:00
221,222,69336,CH-3,56568,4.75,240,500,3,2016-05-31 12:00:00
222,223,74256,CH-4,58464,4.75,240,500,3,2016-05-31 12:00:00
223,224,67488,CH-5,53136,4.75,240,500,3,2016-05-31 12:00:00
224,225,119560,CH-6,95920,4.75,240,500,16,2016-05-31 07:00:00
225,226,155856,CH-7,122544,4.75,240,500,3,2016-05-31 12:00:00
226,227,245352,CH-8,193848,4.75,240,500,3,2016-05-31 12:00:00
